Chainage,Pipe_No.,Heat_No.,Coating _No.,Thk_mm,Stringing_Length_m,Actual_Length_m,Str_Rpt,Str_Date,Bend_Rpt,Bend_Date,Bend_Deg,Bend_Type,CC _Rpt,CC_Date,Weld_Line_No.,Weld_KM,Weld_Pre_Fix,Weld_Joint_No,weld_Rpt,weld _Date,WPS_no,RT_Rpt,RT_Date,Weld_Repair_Result,Weld_Repair_Rpt,Weld_repair_Date,UT_Rpt,UT_Date,JC_Rpt,JC_Date,Remarks
,L12307677,A261018,B1E01920,9.53,11.57,11.57,20,08.10.2023,,,,,,,A,KM10,FT,40,7,10.10.2023,2,144,12.10.2023,ACC,,,,,,,CC-ROAD-HDD
,L12307845,A161017,B1E01924,9.53,12.11,12.11,20,08.10.2023,,,,,,,A,KM10,FT,41,6,09.10.2023,2,145,12.10.2023,ACC,,,,,,,CC-ROAD-HDD
,L12306615,A262735,B1E01401,9.53,12.14,12.14,20,08.10.2023,,,,,,,A,KM10,FT,42,6,09.10.2023,2,145,12.10.2023,ACC,,,,,,,CC-ROAD-HDD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12307926,A261018,B1E01717,9.53,11.87,11.87,19,06.10.2023,,,,,,,,,,,,,,,,,,,,,,,
,L12306618,A162732,B1E01385,9.53,12.13,12.13,19,06.10.2023,,,,,,,A,KM10,M,46,23,07.10.2023,1,141,10.10.2023,ACC,,,,,,,
,L12306232,A262740,B1E01299,9.53,12.13,12.13,19,06.10.2023,,,,,,,A,KM10,M,47,23,07.10.2023,1,141,10.10.2023,ACC,,,,,,,
,L12307827,A161009,B1E01800,9.53,12.12,12.12,19,06.10.2023,,,,,,,A,KM10,M,48,23,07.10.2023,1,141,10.10.2023,ACC,,,,,,,
,L12308334,A161007,B1E02619,9.53,11.85,11.85,19,06.10.2023,,,,,,,A,KM10,M,49,23,07.10.2023,1,141,10.10.2023,ACC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12306729,A262725,B1E01224,9.53,12.14,12.14,18,03.10.2023,,,,,,,,,,,,,,,,,,,,,,,
,L12307437,A261010,B1E00605,9.53,11.86,11.86,17,01.10.2023,,,,,,,A,KM10,FT,54,5,06.10.2023,2,136,09.10.2023,ACC,,,,,,,CONTANOR YARD HDD
,L12305742,A162739,B1E01072,9.53,12.14,12.14,17,01.10.2023,,,,,,,A,KM10,FT,55,4,05.10.2023,2,136,09.10.2023,ACC,,,,,,,CONTANOR YARD HDD
,L12306479,A262726,B1E01261,9.53,12.12,12.12,17,01.10.2023,,,,,,,A,KM10,FT,56,3,04.10.2023,2,136,09.10.2023,ACC,,,,,,,CONTANOR YARD HDD
,L12307436,A261010,B1E00607,9.53,11.85,11.85,17,01.10.2023,,,,,,,A,KM10,FT,57,44,28.01.2024,2,288,30.01.2024,ACC,,,,,,,CONTANOR YARD HDD
,L12306679,A162732,B1E00650,9.53,12.14,12.14,17,01.10.2023,,,,,,,A,KM10,FT,58,3,04.10.2023,2,131,08.10.2023,ACC,,,,,,,CONTANOR YARD HDD
,L12308329,A261021,B1E02577,9.53,11.86,11.86,17,01.10.2023,,,,,,,A,KM10,FT,59,3,04.10.2023,2,131,08.10.2023,ACC,,,,,,,CONTANOR YARD HDD
,L12305899,A162724,B1E02681,9.53,12.13,12.13,17,01.10.2023,,,,,,,A,KM10,FT,60,2,03.10.2023,2,131,08.10.2023,ACC,,,,,,,CONTANOR YARD HDD
,L12306487,A262735,B1E01271,9.53,12.14,12.14,17,01.10.2023,,,,,,,A,KM10,FT,61,2,03.10.2023,2,131,08.10.2023,ACC,,,,,,,CONTANOR YARD HDD
,L12306461,A262725,B1E00597,9.53,12.14,12.14,18,03.10.2023,,,,,,,A,KM10,FT,62,44,28.01.2024,2,288,30.01.2024,ACC,,,,,,,CONTANOR YARD HDD
,L12306381,A161015,B1E01249,9.53,11.76,11.76,18,03.10.2023,,,,,,,A,KM10,FT,63,5,06.10.2023,2,136,09.10.2023,ACC,,,,,,,CONTANOR YARD HDD
,L12307438,A261010,B1E00604,9.53,11.94,11.94,18,03.10.2023,,,,,,,A,KM10,FT,64,5,06.10.2023,2,136,09.10.2023,ACC,,,,,,,CONTANOR YARD HDD
